,Date,Favored Team,Underdog Team,Favored Spread,Predicted Outcome,Confidence,Vig,Over Under,Predicted Total,Over Under Vig,Over Under Bet To Take,Over Under Conf,Spread Bet To Take,Half Kelly,Quarter Kelly,Over Under H Kelly,Final Score,Spread Cover,Over Cover
518,01/21/2022,Ohio,Toledo,-5.0,Ohio Wins By 4.2,55.25%,-110,148.0,143.9,100.0,Under 148.0,56.35%,Toledo +5.0,3.0%,1.5%,3.9%,69-87,1.0,0.0
519,01/21/2022,St. Bonaventure,Duquesne,-6.0,St. Bonaventure Wins By 1.6,51.42%,-110,136.5,138.5,-115.0,Over 136.5,54.06%,Duquesne +6.0,-1.%,-0.%,0.4%,64-56,0.0,0.0
520,01/21/2022,Buffalo,Kent State,-6.5,Buffalo Wins By 5.8,51.42%,-115,148.0,141.1,-105.0,Under 148.0,56.35%,Kent State +6.5,-2.%,-1.%,2.7%,64-51,0.0,1.0
521,01/21/2022,Cleveland State,Youngstown State,-7.5,Cleveland State Wins By 7.2,51.42%,-115,141.5,145.9,-110.0,Over 141.5,56.35%,Youngstown State +7.5,-2.%,-1.%,1.6%,64-61,1.0,0.0
522,01/21/2022,Illinois State,Evansville,-7.5,Illinois State Wins By 7.2,51.42%,-105,131.5,141.9,-105.0,Over 131.5,56.35%,Evansville +7.5,0.2%,0.1%,2.7%,94-56,0.0,1.0
523,01/21/2022,Bryant,Merrimack,-1.0,Bryant Wins By 2.0,51.42%,-110,133.0,135.8,100.0,Over 133.0,54.06%,Bryant -1.0,-1.%,-0.%,3.9%,79-63,1.0,1.0
524,01/21/2022,Manhattan,Siena,-1.5,Manhattan Wins By 3.4,51.42%,-110,134.0,145.3,-110.0,Over 134.0,56.35%,Manhattan -1.5,-1.%,-0.%,1.6%,75-68,1.0,1.0
525,01/21/2022,St. Francis PA,Central Connecticut,-7.5,St. Francis PA Wins By 6.8,51.42%,-110,137.5,136.5,-110.0,Under 137.5,56.35%,Central Connecticut +7.5,-1.%,-0.%,1.6%,68-67,1.0,1.0
526,01/19/2022,Villanova,Marquette,-13.5,Villanova Wins By 12.7,50.35%,-110,138.5,137.7,-110.0,Under 138.5,56.35%,Marquette +13.5,-2.%,-1.%,1.6%,54-57,1.0,1.0
527,01/19/2022,Auburn,Georgia,-21.5,Auburn Wins By 22.2,50.35%,-110,150.0,151.6,-120.0,Over 150.0,56.35%,Auburn -21.5,-2.%,-1.%,-0.%,83-60,1.0,0.0
528,01/19/2022,Kentucky,Texas A&M,-7.5,Kentucky Wins By 6.4,50.35%,-105,142.0,149.9,-115.0,Over 142.0,54.06%,Texas A&M +7.5,-0.%,-0.%,0.4%,64-58,1.0,0.0
529,01/19/2022,Iowa,Rutgers,-3.5,Iowa Wins By 4.5,50.35%,-110,151.0,148.8,-115.0,Under 151.0,54.06%,Iowa -3.5,-2.%,-1.%,0.4%,46-48,0.0,1.0
